"","F3D0","F3D1","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","Mock"
"otu 1 ",586,407,452,290,228,423,646,328,1495,863,885,318,3498,993,330,1016,655,277,518,0
"otu 2 ",353,353,368,310,179,276,497,230,1216,734,783,229,1588,602,270,675,515,354,428,0
"otu 3 ",451,232,346,158,204,303,523,256,913,582,723,399,1190,465,284,588,438,353,484,0
"otu 4 ",433,69,513,164,234,358,593,392,1088,853,900,476,472,205,159,405,316,146,207,0
"otu 5 ",173,141,188,181,131,104,309,179,453,445,419,198,340,401,151,476,470,582,602,0
"otu 6 ",471,41,331,184,250,354,476,275,1182,880,640,216,115,25,23,17,11,0,0,0
"otu 7 ",285,96,248,168,152,240,396,214,863,585,559,238,325,167,123,282,197,132,211,0
"otu 8 ",184,191,324,89,86,42,125,72,75,527,516,122,1212,383,207,262,216,301,442,0
"otu 9 ",44,69,168,88,108,159,204,116,770,409,426,247,435,307,179,205,176,113,147,0
"otu 10 ",159,106,130,74,67,155,229,89,269,200,289,149,618,299,214,242,276,197,225,0
"otu 11 ",17,102,168,42,79,269,325,178,448,413,479,61,55,176,61,45,16,19,28,104
"otu 12 ",217,40,146,103,112,145,258,147,562,434,302,98,41,0,0,0,0,0,0,0
"otu 13 ",52,129,13,103,43,16,27,4,147,18,89,64,338,94,48,424,119,145,183,0
"otu 14 ",106,28,68,65,61,81,126,58,291,201,164,75,107,62,38,106,74,67,72,0
"otu 15 ",93,325,33,12,0,11,15,25,75,56,42,19,368,46,87,57,41,45,99,0
"otu 16 ",81,0,104,53,40,119,126,35,308,270,177,30,18,24,36,0,0,7,0,0
"otu 17 ",69,31,43,30,20,46,105,35,147,118,120,48,196,105,37,40,22,22,38,0
"otu 18 ",67,109,6,7,0,6,5,4,41,55,4,5,402,345,17,74,39,20,42,0
"otu 19 ",66,0,0,34,0,0,121,77,348,273,238,0,44,0,20,12,10,0,0,0
"otu 20 ",100,0,148,116,0,0,195,0,256,261,81,0,0,0,57,0,0,0,0,0
"otu 21 ",42,53,45,0,12,45,39,17,153,112,149,19,30,123,10,29,39,117,26,0
"otu 22 ",44,14,87,35,68,18,13,78,79,98,263,146,17,0,0,0,0,0,0,0
"otu 23 ",281,57,51,10,0,16,11,18,50,26,47,0,147,32,38,47,13,48,32,0
"otu 24 ",54,136,15,6,0,0,8,49,0,52,0,23,301,0,55,37,30,30,49,0
"otu 25 ",70,71,0,0,0,0,10,24,11,12,8,8,340,44,59,67,13,58,46,0
"otu 26 ",26,8,57,14,0,13,20,16,110,189,103,54,34,23,25,27,49,22,39,0
"otu 27 ",74,103,0,0,0,0,6,36,34,8,7,6,200,15,52,109,48,40,52,0
"otu 28 ",31,46,11,0,15,22,19,37,33,17,49,32,150,20,50,48,13,44,64,0
"otu 29 ",43,121,36,0,4,10,11,35,17,22,36,16,109,8,45,20,8,49,93,0
"otu 30 ",57,142,0,0,0,0,0,0,0,0,45,0,284,20,35,41,0,0,56,0
"otu 31 ",63,25,12,21,22,0,0,0,51,58,46,0,59,22,78,42,35,61,52,0
"otu 32 ",28,30,60,10,25,11,18,23,47,45,146,86,41,10,0,22,0,8,16,0
"otu 33 ",75,72,23,9,15,16,13,23,12,9,45,32,83,8,43,47,8,31,40,0
"otu 34 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596
"otu 35 ",34,103,0,0,0,0,0,0,0,0,0,0,185,9,17,23,19,75,95,0
"otu 36 ",57,53,20,0,0,14,17,26,25,17,52,25,76,21,21,45,0,42,33,0
"otu 37 ",45,54,0,4,0,0,0,0,26,0,12,0,113,12,48,52,20,58,96,0
"otu 38 ",6,14,32,0,15,17,16,13,46,21,59,56,96,17,33,31,10,24,33,0
"otu 39 ",27,38,27,12,14,0,0,32,43,50,88,29,41,9,13,28,12,0,16,0
"otu 40 ",18,21,13,7,11,0,6,23,39,21,45,41,84,7,18,21,10,22,31,0
"otu 41 ",0,0,66,14,43,44,46,96,38,14,0,0,0,0,0,15,0,24,36,0
"otu 42 ",32,71,0,0,0,0,0,0,0,0,0,0,82,18,34,52,26,38,63,0
"otu 43 ",27,32,41,0,37,0,14,31,20,49,30,20,21,0,23,0,9,26,33,0
"otu 44 ",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,397
"otu 45 ",50,64,18,0,8,0,0,21,12,15,45,25,91,28,7,0,0,9,0,0
"otu 46 ",10,19,0,0,0,0,0,0,13,9,21,0,81,20,34,37,33,40,61,0
"otu 47 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368
"otu 48 ",6,11,10,13,7,14,21,8,37,13,12,10,55,44,6,24,27,22,27,0
"otu 49 ",0,74,8,0,0,0,0,11,11,15,35,16,55,10,52,26,8,16,30,0
"otu 50 ",42,55,0,0,0,0,0,0,0,0,0,0,141,12,11,26,11,42,24,0
"otu 51 ",35,45,0,0,0,0,0,0,11,0,7,0,155,9,9,45,12,13,23,0
"otu 52 ",8,24,19,0,14,0,0,14,43,34,64,20,74,0,6,7,7,11,17,0
"otu 53 ",56,46,0,0,0,0,0,0,0,0,11,0,107,0,54,11,0,36,39,0
"otu 54 ",50,24,11,8,12,14,11,24,31,21,37,16,38,0,20,20,0,6,15,0
"otu 55 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348
"otu 56 ",18,36,30,0,0,4,0,16,32,22,27,15,48,0,24,23,0,24,23,0
"otu 57 ",0,0,18,11,0,22,13,37,90,62,43,41,0,0,0,0,0,0,0,0
